codigo_dane,anio,semana_epi,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,pm10_avg,pm25_avg,fuente_pm,metodo_imputacion
05001,2022,41,21.15,80.237,6.996,852.021,43.159,18.793,SISAIRE_DIRECTO,directo
05001,2022,42,20.287,85.132,57.027,851.852,37.41,18.397,SISAIRE_DIRECTO,directo
05001,2022,43,20.33,86.923,61.111,851.686,34.752,15.679,SISAIRE_DIRECTO,directo
05001,2022,44,20.834,83.488,21.575,851.728,35.427,16.688,SISAIRE_DIRECTO,directo
05001,2022,45,21.18,81.781,16.2975,851.61,30.707,15.519,SISAIRE_DIRECTO,directo
05001,2022,46,21.011,79.354,11.02,851.771,35.876,17.605,SISAIRE_DIRECTO,directo
05001,2022,47,20.842,76.927,5.7425,851.274,37.862,17.19,SISAIRE_DIRECTO,directo
05001,2022,48,20.673,74.5,0.465,850.355,39.167,17.135,SISAIRE_DIRECTO,directo
05001,2022,49,19.698,79.737,0.0,851.135,36.065,17.867,SISAIRE_DIRECTO,directo
05001,2022,50,21.24,78.057,0.223,850.782,41.472,18.761,SISAIRE_DIRECTO,directo
05001,2022,51,21.975,75.673,1.332,851.009,44.31,21.639,SISAIRE_DIRECTO,directo
05001,2022,52,21.013,78.976,15.423,852.287,40.502,20.676,SISAIRE_DIRECTO,directo
05001,2023,1,20.142,82.018,70.404,852.83,30.773,15.317,SISAIRE_DIRECTO,directo
05001,2023,2,20.082,85.785,74.947,852.661,37.489,17.773,SISAIRE_DIRECTO,directo
05001,2023,3,20.753,78.445,38.886,851.416,39.015,18.395,SISAIRE_DIRECTO,directo
05001,2023,4,22.263,68.679,0.044,850.567,40.127,18.919,SISAIRE_DIRECTO,directo
05001,2023,5,21.625,71.464,16.929,851.641,48.916,24.456,SISAIRE_DIRECTO,directo
05001,2023,6,22.293,71.39,2.386,850.242,43.761,21.275,SISAIRE_DIRECTO,directo
05001,2023,7,21.905,77.589,8.618,850.341,37.985,17.931,SISAIRE_DIRECTO,directo
05001,2023,8,21.464,76.068,8.324,851.864,52.685,26.795,SISAIRE_DIRECTO,directo
05001,2023,9,23.304,69.449,9.023,850.601,44.281,22.006,SISAIRE_DIRECTO,directo
05001,2023,10,20.172,86.969,85.636,852.367,39.458,18.611,SISAIRE_DIRECTO,directo
05001,2023,11,20.269,85.725,29.754,852.851,41.251,18.861,SISAIRE_DIRECTO,directo
05001,2023,12,21.302,75.623,1.081,851.582,55.548,30.036,SISAIRE_DIRECTO,directo
05001,2023,13,21.35,81.79,0.261,851.094,44.304,22.773,SISAIRE_DIRECTO,directo
05001,2023,14,22.071,75.623,4.938,850.334,34.16,16.464,SISAIRE_DIRECTO,directo
05001,2023,15,21.789,80.815,43.283,850.894,43.12,19.222,SISAIRE_DIRECTO,directo
05001,2023,16,21.226,82.286,27.216,851.357,40.935,16.507,SISAIRE_DIRECTO,directo
05001,2023,17,21.63,86.444,37.018,852.125,41.181,15.899,SISAIRE_DIRECTO,directo
05001,2023,18,24.325,55.138,0.0,850.118,39.684,15.714,SISAIRE_DIRECTO,directo
05001,2023,19,23.325,58.571,1.691,851.236,45.88,17.265,SISAIRE_DIRECTO,directo
05001,2023,20,22.612,0.0,15.39,851.149,42.823,16.213,SISAIRE_DIRECTO,directo
05001,2023,21,21.234,0.0,45.88,852.085,42.884,16.58,SISAIRE_DIRECTO,directo
