codigo_dane,anio,semana_epi,fecha_semana,nivel_alerta,prediccion_casos_t1,desviacion_prediccion_pct,variable_causal,media_hist_mun_sem,shap_max_value
05001,2021,9,2021-03-01,ALERTA_NARANJA,9.84,34.18,casos_ira_lag1,7.333333333333333,3.2596166133880615
05001,2021,10,2021-03-08,ALERTA_VERDE,8.43,-9.68,casos_ira_lag1,9.333333333333334,2.79451322555542
05001,2021,11,2021-03-15,ALERTA_NARANJA,9.17,44.79,casos_ira_lag1,6.333333333333333,3.328922986984253
05001,2021,12,2021-03-22,ALERTA_VERDE,7.97,13.86,casos_ira_lag1,7.0,3.0109059810638428
05001,2021,13,2021-03-29,ALERTA_ROJA,8.63,72.6,casos_ira_lag1,5.0,3.4679956436157227
05001,2021,14,2021-04-05,ALERTA_VERDE,8.35,13.86,casos_ira_lag1,7.333333333333333,2.036930561065674
05001,2021,15,2021-04-12,ALERTA_VERDE,8.51,6.38,casos_ira_lag1,8.0,2.146836042404175
05001,2021,16,2021-04-19,ALERTA_VERDE,4.79,-20.17,casos_ira_total,6.0,1.7570159435272217
05001,2021,17,2021-04-26,ALERTA_ROJA,8.28,77.43,casos_ira_lag1,4.666666666666667,3.9192097187042236
05001,2021,18,2021-05-03,ALERTA_NARANJA,7.23,54.93,casos_ira_total,4.666666666666667,2.566189765930176
05001,2021,19,2021-05-10,ALERTA_NARANJA,9.98,49.7,casos_ira_lag1,6.666666666666667,3.491229295730591
05001,2021,20,2021-05-17,ALERTA_VERDE,9.08,0.89,casos_ira_total,9.0,2.2360613346099854
05001,2021,21,2021-05-24,ALERTA_ROJA,10.28,105.6,casos_ira_lag1,5.0,3.4076554775238037
05001,2021,22,2021-05-31,ALERTA_VERDE,9.91,18.92,casos_ira_lag1,8.333333333333334,3.165724515914917
05001,2021,23,2021-06-07,ALERTA_ROJA,10.26,81.06,casos_ira_lag1,5.666666666666667,3.279059410095215
05001,2021,24,2021-06-14,ALERTA_NARANJA,9.99,42.71,casos_ira_lag1,7.0,3.281507730484009
05001,2021,25,2021-06-21,ALERTA_NARANJA,9.84,47.6,casos_ira_lag1,6.666666666666667,3.1994423866271973
05001,2021,26,2021-06-28,ALERTA_VERDE,9.13,14.13,casos_ira_lag1,8.0,2.9887356758117676
05001,2021,27,2021-07-05,ALERTA_NARANJA,10.43,36.04,casos_ira_lag1,7.666666666666667,3.432194232940674
05001,2021,28,2021-07-12,ALERTA_VERDE,10.45,8.1,casos_ira_lag1,9.666666666666666,3.00860333442688
05001,2021,29,2021-07-19,ALERTA_VERDE,8.47,5.88,casos_ira_lag1,8.0,3.1247618198394775
05001,2021,30,2021-07-26,ALERTA_NARANJA,9.63,52.05,casos_ira_lag1,6.333333333333333,3.9344351291656494
05001,2021,31,2021-08-02,ALERTA_ROJA,10.67,255.67,desviacion_vs_historico,3.0,2.405280828475952
05001,2021,32,2021-08-09,ALERTA_ROJA,12.71,138.31,casos_ira_lag1,5.333333333333333,4.478582382202148
05001,2021,33,2021-08-16,ALERTA_ROJA,12.45,433.57,casos_ira_lag1,2.3333333333333335,4.0933756828308105
05001,2021,34,2021-08-23,ALERTA_ROJA,12.08,353.0,casos_ira_lag1,2.6666666666666665,4.264595031738281
05001,2021,35,2021-08-30,ALERTA_ROJA,12.46,176.89,casos_ira_lag1,4.5,3.6834964752197266
05001,2021,36,2021-09-06,ALERTA_ROJA,11.76,220.73,casos_ira_lag1,3.6666666666666665,3.8431296348571777
05001,2021,37,2021-09-13,ALERTA_VERDE,10.36,29.5,casos_ira_lag1,8.0,4.202957630157471
05001,2021,38,2021-09-20,ALERTA_ROJA,11.67,483.5,casos_ira_lag1,2.0,4.236355781555176
05001,2021,39,2021-09-27,ALERTA_ROJA,8.88,166.4,casos_ira_lag1,3.3333333333333335,3.2764580249786377
05001,2021,40,2021-10-04,ALERTA_ROJA,11.61,231.71,casos_ira_lag1,3.5,4.033114910125732
05001,2021,41,2021-10-11,ALERTA_NARANJA,6.81,51.33,casos_ira_total,4.5,2.1395139694213867
05001,2021,42,2021-10-18,ALERTA_ROJA,10.69,256.33,casos_ira_lag1,3.0,4.306188106536865
05001,2021,43,2021-10-25,ALERTA_ROJA,10.52,133.78,casos_ira_lag1,4.5,2.2280936241149902
05001,2021,44,2021-11-01,ALERTA_ROJA,10.23,104.6,casos_ira_lag1,5.0,3.27382493019104
05001,2021,45,2021-11-08,ALERTA_NARANJA,9.13,52.17,casos_ira_lag1,6.0,3.69791316986084
05001,2021,46,2021-11-15,ALERTA_ROJA,8.92,154.86,casos_ira_lag1,3.5,3.321383237838745
05001,2021,47,2021-11-22,ALERTA_ROJA,8.86,66.12,casos_ira_lag1,5.333333333333333,3.233950614929199
05001,2021,48,2021-11-29,ALERTA_VERDE,6.63,10.5,casos_ira_total,6.0,1.9509046077728271
05001,2021,49,2021-12-06,ALERTA_ROJA,9.01,93.07,casos_ira_lag1,4.666666666666667,3.2795050144195557
05001,2021,50,2021-12-13,ALERTA_NARANJA,10.79,43.87,casos_ira_total,7.5,2.320993423461914
05001,2021,51,2021-12-20,ALERTA_ROJA,12.49,97.21,casos_ira_lag1,6.333333333333333,4.219605922698975
05001,2021,52,2021-12-27,ALERTA_VERDE,10.21,20.12,casos_ira_lag1,8.5,3.10331654548645
05001,2022,1,2022-01-03,ALERTA_VERDE,6.54,-27.33,casos_ira_total,9.0,2.1881537437438965
05001,2022,2,2022-01-10,ALERTA_VERDE,9.2,20.0,casos_ira_lag1,7.666666666666667,2.933215856552124
05001,2022,3,2022-01-17,ALERTA_VERDE,6.38,6.33,casos_ira_total,6.0,1.7437036037445068
05001,2022,4,2022-01-24,ALERTA_VERDE,5.64,20.86,casos_ira_lag1,4.666666666666667,1.940228819847107
05001,2022,6,2022-02-07,ALERTA_VERDE,6.78,-11.57,casos_ira_total,7.666666666666667,1.8712934255599976
05001,2022,7,2022-02-14,ALERTA_VERDE,6.39,12.76,casos_ira_lag1,5.666666666666667,1.7509795427322388
05001,2022,8,2022-02-21,ALERTA_VERDE,5.08,-10.35,casos_ira_total,5.666666666666667,1.852245569229126
05001,2022,9,2022-02-28,ALERTA_VERDE,6.98,-4.82,casos_ira_lag1,7.333333333333333,1.7347640991210938
05001,2022,10,2022-03-07,ALERTA_VERDE,8.31,-10.96,casos_ira_lag1,9.333333333333334,2.4524028301239014
05001,2022,11,2022-03-14,ALERTA_VERDE,3.12,-50.74,media_hist_mun_sem,6.333333333333333,0.6885848641395569
05001,2022,12,2022-03-21,ALERTA_VERDE,5.12,-26.86,casos_ira_total,7.0,1.9295145273208618
05001,2022,13,2022-03-28,ALERTA_VERDE,6.44,28.8,casos_ira_total,5.0,1.4834167957305908
05001,2022,14,2022-04-04,ALERTA_VERDE,6.69,-8.77,casos_ira_lag1,7.333333333333333,1.519790768623352
05001,2022,15,2022-04-11,ALERTA_VERDE,8.12,1.5,casos_ira_lag1,8.0,1.6257519721984863
05001,2022,16,2022-04-18,ALERTA_VERDE,6.26,4.33,casos_ira_lag1,6.0,1.8463523387908936
05001,2022,17,2022-04-25,ALERTA_VERDE,4.24,-9.14,media_hist_mun_sem,4.666666666666667,0.9335336685180664
05001,2022,18,2022-05-02,ALERTA_VERDE,5.82,24.71,casos_ira_total,4.666666666666667,2.3858516216278076
05001,2022,19,2022-05-09,ALERTA_VERDE,7.45,11.75,casos_ira_lag1,6.666666666666667,1.9495593309402466
05001,2022,20,2022-05-16,ALERTA_VERDE,8.89,-1.22,casos_ira_lag1,9.0,3.488879680633545
05001,2022,21,2022-05-23,ALERTA_ROJA,8.82,76.4,casos_ira_total,5.0,2.0543558597564697
05001,2022,22,2022-05-30,ALERTA_VERDE,9.13,9.56,casos_ira_lag1,8.333333333333334,3.5781090259552
05001,2022,23,2022-06-06,ALERTA_VERDE,7.28,28.47,casos_ira_total,5.666666666666667,1.756762146949768
05001,2022,24,2022-06-13,ALERTA_VERDE,7.05,0.71,casos_ira_lag1,7.0,1.8624999523162842
05001,2022,25,2022-06-20,ALERTA_VERDE,7.32,9.8,casos_ira_total,6.666666666666667,1.9916400909423828
05001,2022,26,2022-06-27,ALERTA_VERDE,9.31,16.38,casos_ira_lag1,8.0,3.7871904373168945
05001,2022,27,2022-07-04,ALERTA_NARANJA,10.36,35.13,casos_ira_lag1,7.666666666666667,3.4273977279663086
05001,2022,28,2022-07-11,ALERTA_VERDE,8.12,-16.0,casos_ira_lag1,9.666666666666666,1.9829785823822021
05001,2022,29,2022-07-18,ALERTA_NARANJA,10.53,31.62,casos_ira_lag1,8.0,4.407815456390381
05001,2022,30,2022-07-25,ALERTA_VERDE,7.6,20.0,casos_ira_lag1,6.333333333333333,1.9356366395950317
05001,2022,31,2022-08-01,ALERTA_ROJA,9.31,210.33,casos_ira_lag1,3.0,2.2037527561187744
05001,2022,32,2022-08-08,ALERTA_NARANJA,7.27,36.31,casos_ira_lag1,5.333333333333333,1.9138681888580322
05001,2022,33,2022-08-15,ALERTA_ROJA,9.41,303.29,casos_ira_lag1,2.3333333333333335,2.4353368282318115
